,Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
12,"['14 July 2014,', '15:15']",Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,F9 v1.1[,Uncontrolled,5 August 2014,08:00
13,"['5 August 2014,', '08:00']",Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,F9 v1.1[,Failure ,7 September 2014,05:00
14,"['7 September 2014,', '05:00']",Cape Canaveral,DSCOVR,570 kg,HEO,USAF,"Success
",F9 v1.1[,Controlled,21 September 2014,05:52
15,"['21 September 2014,', '05:52']",Cape Canaveral,ABS-3A,"4,159 kg",GTO,ABS,"Success
",F9 v1.1[,No attempt,10 January 2015,09:47
16,"['10 January 2015,', '09:47']",Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",F9 v1.1[,Failure,11 February 2015,23:03
17,"['11 February 2015,', '23:03']",Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,"Success
",F9 v1.1[,No attempt,2 March 2015,03:50
18,"['2 March 2015,', '03:50']",Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,F9 v1.1[,Precluded,14 April 2015,20:10
19,"['14 April 2015,', '20:10']",Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",F9 FT[,Success,27 April 2015,23:03
20,"['27 April 2015,', '23:03']",VAFB,Jason-3,553 kg,LEO,NASA,"Success
",F9 v1.1[,Failure,28 June 2015,14:21
21,"['28 June 2015,', '14:21']",Cape Canaveral,SES-9,"5,271 kg",GTO,SES,"Success
",F9 FT[,Failure,22 December 2015,01:29
22,"['22 December 2015,', '01:29']",Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,F9 FT[,Success,17 January 2016,18:42
23,"['17 January 2016,', '18:42']",Cape Canaveral,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT[,Success,4 March 2016,23:35
24,"['4 March 2016,', '23:35']",Cape Canaveral,Thaicom 8,"3,100 kg",GTO,Thaicom,"Success
",F9 FT[,Success,8 April 2016,20:43
25,"['8 April 2016,', '20:43']",Cape Canaveral,ABS-2A,"3,600 kg",GTO,ABS,"Success
",F9 FT[,Failure,6 May 2016,05:21
26,"['6 May 2016,', '05:21']",Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,NASA,"Success
",F9 FT[,Success,27 May 2016,21:39
27,"['27 May 2016,', '21:39']",Cape Canaveral,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT[,Success,15 June 2016,14:29
28,"['15 June 2016,', '14:29']",VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 FT[,Success,18 July 2016,04:45
29,"['18 July 2016,', '04:45']",KSC,SpaceX CRS-10,"2,490 kg",LEO,NASA,"Success
",F9 FT[,Success,14 August 2016,05:26
30,"['14 August 2016,', '05:26']",KSC,EchoStar 23,"5,600 kg",GTO,EchoStar,"Success
",F9 FT[,No attempt,14 January 2017,17:54
31,"['14 January 2017,', '17:54']",KSC,SES-10,"5,300 kg",GTO,SES,Success,F9 FT♺[,Success,19 February 2017,14:39
32,"['19 February 2017,', '14:39']",KSC,NROL-76,C,LEO,NRO,"Success
",F9 FT[,Success,16 March 2017,06:00
33,"['16 March 2017,', '06:00']",KSC,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,"Success
",F9 FT[,No attempt,30 March 2017,22:27
34,"['30 March 2017,', '22:27']",KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",F9 FT[,Success,1 May 2017,11:15
35,"['1 May 2017,', '11:15']",KSC,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,"Success
",F9 FTB1029.2195,Success,15 May 2017,23:21
36,"['15 May 2017,', '23:21']",VAFB,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,"Success
",F9 FT[,Success,3 June 2017,21:07
37,"['3 June 2017,', '21:07']",KSC,Intelsat 35e,"6,761 kg",GTO,Intelsat,"Success
",F9 FT[,No attempt,23 June 2017,19:10
38,"['23 June 2017,', '19:10']",KSC,SpaceX CRS-12,"3,310 kg",LEO,NASA,"Success
",F9 B4[,Success,25 June 2017,20:25
39,"['25 June 2017,', '20:25']",VAFB,Formosat-5,475 kg,SSO,NSPO,"Success
",F9 FT[,Success,5 July 2017,23:38
40,"['5 July 2017,', '23:38']",KSC,Boeing X-37B,"4,990 kg",LEO,USAF,"Success
",F9 B4[,Success,14 August 2017,16:31
41,"['14 August 2017,', '16:31']",VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 B4[,Success,24 August 2017,18:51
42,"['24 August 2017,', '18:51']",KSC,SES-11,"5,200 kg",GTO,SES S.A.,"Success
",F9 FTB1031.2220,Success,7 September 2017,14:00
43,"['7 September 2017,', '14:00']",KSC,Koreasat 5A,"3,500 kg",GTO,KT Corporation,"Success
",F9 B4[,Success,9 October 2017,12:37
44,"['9 October 2017,', '12:37']",Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,NASA,"Success
",F9 FTB1035.2227,Success,11 October 2017,22:53:00
45,"['11 October 2017,', '22:53:00']",VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 FTB1036.2227,Controlled,30 October 2017,19:34
46,"['30 October 2017,', '19:34']",CCAFS,Zuma,C,LEO,Northrop Grumman,Success,F9 B4[,Success,15 December 2017,15:36
47,"['15 December 2017,', '15:36']",CCAFS,GovSat-1,"4,230 kg",GTO,SES,Success,F9 FTB1032.2245,Controlled,23 December 2017,01:27
48,"['23 December 2017,', '01:27']",VAFB,Paz,"2,150 kg",SSO,Hisdesat,Success,F9 FTB1038.2268,No attempt,8 January 2018,01:00
49,"['8 January 2018,', '01:00']",CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Hispasat,Success,F9 B4[,No attempt,31 January 2018,21:25
50,"['31 January 2018,', '21:25']",VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 B4B1041.2268,No attempt,22 February 2018,14:17
51,"['22 February 2018,', '14:17']",CCAFS,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,F9 B4B1039.2292,No attempt,6 March 2018,05:33
52,"['6 March 2018,', '05:33']",CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA,Success,F9 B4[,Success,30 March 2018,14:14
53,"['30 March 2018,', '14:14']",KSC,Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia,Success,F9 B5311B1046.1268,Success,2 April 2018,20:30
54,"['2 April 2018,', '20:30']",VAFB,Iridium NEXT,"6,460 kg",Polar,Iridium Communications,Success,F9 B4B1043.2322,No attempt,18 April 2018,22:51
55,"['18 April 2018,', '22:51']",CCAFS,SES-12,"5,384 kg",GTO,SES,Success,F9 B4B1040.2268,No attempt,11 May 2018,20:14
56,"['11 May 2018,', '20:14']",CCAFS,SpaceX CRS-15,"2,697 kg",LEO,NASA,Success,F9 B4B1045.2336,No attempt,22 May 2018,19:47
57,"['22 May 2018,', '19:47']",CCAFS,Telstar 19V,"7,075 kg",GTO,Telesat,Success,F9 B5,Success,4 June 2018,04:45
58,"['4 June 2018,', '04:45']",VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 B5349B1048[,Success,29 June 2018,09:42
59,"['29 June 2018,', '09:42']",CCAFS,Merah Putih,"5,800 kg",GTO,Telkom Indonesia,Success,F9 B5B1046.2354,Success,22 July 2018,05:50
60,"['22 July 2018,', '05:50']",CCAFS,Telstar 18V,"7,060 kg",GTO,Telesat,Success,F9 B5[,Success,25 July 2018,11:39
61,"['25 July 2018,', '11:39']",VAFB,SAOCOM 1A,"3,000 kg",SSO,CONAE,Success,F9 B5B1048.2364,Success,7 August 2018,05:18
62,"['7 August 2018,', '05:18']",KSC,Es'hail 2,"5,300 kg",GTO,Es'hailSat,Success,F9 B5B1047.2268,Success,10 September 2018,04:45
63,"['10 September 2018,', '04:45']",VAFB,SSO-A,"~4,000 kg",SSO,Spaceflight Industries,Success,F9 B5B1046.3268,Success,8 October 2018,02:22
64,"['8 October 2018,', '02:22']",CCAFS,SpaceX CRS-16,"2,500 kg",LEO,NASA,"Success
",F9 B5[,Failure,15 November 2018,20:46
65,"['15 November 2018,', '20:46']",CCAFS,GPS III,"4,400 kg",MEO,USAF,Success,F9 B5[,No attempt,3 December 2018,18:34:05
66,"['3 December 2018,', '18:34:05']",VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 B5B1049.2397,Success,5 December 2018,18:16
67,"['5 December 2018,', '18:16']",CCAFS,Nusantara Satu,"4,850 kg",GTO,PSN,"Success
",F9 B5B1048.3399,Success,23 December 2018,13:51
68,"['23 December 2018,', '13:51']",KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",F9 B5[]413,Success,11 January 2019,15:31
69,"['11 January 2019,', '15:31']",CCAFS,SpaceX CRS-17,"2,495 kg",LEO,NASA,"Success
",F9 B5[,Success,22 February 2019,01:45
70,"['22 February 2019,', '01:45']",CCAFS,Starlink,"13,620 kg",LEO,SpaceX,"Success
",F9 B5B1049.3434,Success,2 March 2019,07:49
71,"['2 March 2019,', '07:49']",VAFB,RADARSAT Constellation,"4,200 kg",SSO,Canadian Space Agency,"Success
",F9 B5B1051.2420,Success,4 May 2019,06:48
72,"['4 May 2019,', '06:48']",CCAFS,SpaceX CRS-18,"2,268 kg",LEO,NASA,"Success
",F9 B5B1056.2465,Success,24 May 2019,02:30
73,"['24 May 2019,', '02:30']",CCAFS,AMOS-17,"6,500 kg",GTO,Spacecom,"Success
",F9 B5B1047.3472,No attempt,12 June 2019,14:17
74,"['12 June 2019,', '14:17']",CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,25 July 2019,22:01
75,"['25 July 2019,', '22:01']",CCAFS,SpaceX CRS-19,"2,617 kg",LEO,NASA,"Success
",F9 B5[,Success,6 August 2019,23:23
76,"['6 August 2019,', '23:23']",CCAFS,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,"Success
",F9 B5B1056.3482,Success,11 November 2019,14:56
77,"['11 November 2019,', '14:56']",CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,5 December 2019,17:29
78,"['5 December 2019,', '17:29']",KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,"Success
",F9 B5,"No attempt
",17 December 2019,00:10
79,"['17 December 2019,', '00:10']",CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,7 January 2020,02:19:21
80,"['7 January 2020,', '02:19:21']",CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Failure,19 January 2020,15:30
81,"['19 January 2020,', '15:30']",CCAFS,SpaceX CRS-20,"1,977 kg",LEO,NASA,"Success
",F9 B5,Success,29 January 2020,14:07
82,"['29 January 2020,', '14:07']",KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Failure,17 February 2020,15:05
83,"['17 February 2020,', '15:05']",KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,7 March 2020,04:50
84,"['7 March 2020,', '04:50']",KSC,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,"Success
",F9 B5[,Success,18 March 2020,12:16
85,"['18 March 2020,', '12:16']",CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,22 April 2020,19:30
86,"['22 April 2020,', '19:30']",CCAFS,Starlink,"15,410 kg",LEO,SpaceX,"Success
",F9 B5,Success,30 May 2020,19:22
87,"['30 May 2020,', '19:22']",CCAFS,GPS III,"4,311 kg",MEO,U.S. Space Force,"Success
",F9 B5,Success,4 June 2020,01:25
88,"['4 June 2020,', '01:25']",CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",F9 B5B1058.2544,Success,13 June 2020,09:21
89,"['13 June 2020,', '09:21']",KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",F9 B5,Success,30 June 2020,20:10:46
90,"['30 June 2020,', '20:10:46']",CCAFS,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",F9 B5B1049.6544,Success,20 July 2020,21:30
91,"['20 July 2020,', '21:30']",CCAFS,SAOCOM 1B,"3,130 kg",SSO,CONAE,"Success
",F9 B5,Success,7 August 2020,05:12
92,"['7 August 2020,', '05:12']",KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.2563,Success,18 August 2020,14:31
93,"['18 August 2020', '14:31']",KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1058.3565,Success,30 August 2020,23:18
94,"['30 August 2020', '23:18']",KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.6568,Success,3 September 2020,12:46:14
95,"['3 September 2020', '12:46:14']",CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,6 October 2020,11:29:34
96,"['6 October 2020', '11:29:34']",CCAFS,GPS III,"4,311 kg",MEO,USSF,"Success
",F9 B5,Success,18 October 2020,12:25:57
97,"['18 October 2020', '12:25:57']",KSC,Crew-1,"~12,500 kg",LEO,NASA,"Success
",F9 B5[,Success,24 October 2020,15:31:34
98,"['24 October 2020', '15:31:34']",VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",F9 B5,Success,5 November 2020,23:24:23
99,"['5 November 2020', '23:24:23']",CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺[,Success,16 November 2020,00:27
100,"['16 November 2020', '00:27']",KSC,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",F9 B5 ♺[,Success,21 November 2020,17:17:08
101,"['21 November 2020', '17:17:08']",CCSFS,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5 ♺,Success,25 November 2020,02:13
102,"['25 November 2020', '02:13']",KSC,NROL-108,C,LEO,NRO,"Success
",F9 B5 ♺,Success,6 December 2020,16:17:08
103,"['6 December 2020', '16:17:08']",CCSFS,Türksat 5A,"3,500 kg",GTO,Türksat,"Success
",F9 B5,Success,13 December 2020,17:30:00
104,"['13 December 2020', '17:30:00']",KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.8609,Success,19 December 2020,14:00:00
105,"['19 December 2020', '14:00:00']",CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,"Success
",F9 B5B1058.5613,Failure,8 January 2021,02:15
106,"['8 January 2021', '02:15']",CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,NASA,Success,F9 v1.07B0003.18,Failure,20 January 2021,13:02
107,"['20 January 2021', '13:02']",CCAFS,Dragon,0,LEO,NASA,Success,F9 v1.07B0004.18,"No attempt
",24 January 2021,15:00
108,"['24 January 2021', '15:00']",CCAFS,Dragon,525 kg,LEO,NASA,"Success
",F9 v1.07B0005.18,No attempt,4 June 2010,18:45
109,"['4 June 2010,', '18:45']",CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",F9 v1.07B0006.18,"No attempt
",8 December 2010,15:43
110,"['8 December 2010,', '15:43']",CCAFS,SpaceX CRS-2,"4,877 kg",LEO,MDA,Success,F9 v1.07B0007.18,Uncontrolled,22 May 2012,07:44
111,"['22 May 2012,', '07:44']",VAFB,CASSIOPE,500 kg,Polar orbit,SES,Success,F9 v1.17B10038,No attempt,8 October 2012,00:35
112,"['8 October 2012,', '00:35']",CCAFS,SES-8,"3,170 kg",GTO,Thaicom,Success,F9 v1.1,No attempt,1 March 2013,15:10
113,"['1 March 2013,', '15:10']",CCAFS,Thaicom 6,"3,325 kg",GTO,NASA,"Success
",F9 v1.1,Controlled,29 September 2013,16:00
114,"['29 September 2013,', '16:00']",Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,Orbcomm,Success,F9 v1.1,Controlled,3 December 2013,22:41
115,"['3 December 2013,', '22:41']",Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,AsiaSat,Success,F9 v1.1,No attempt,6 January 2014,22:06
116,"['6 January 2014,', '22:06']",Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,"No attempt
",18 April 2014,19:25
117,"['18 April 2014,', '19:25']",Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,NASA,Success,F9 v1.1[,Uncontrolled,14 July 2014,15:15
118,"['14 July 2014,', '15:15']",Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,F9 v1.1[,Failure ,5 August 2014,08:00
119,"['5 August 2014,', '08:00']",Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,USAF,"Success
",F9 v1.1[,Controlled,7 September 2014,05:00
120,"['7 September 2014,', '05:00']",Cape Canaveral,DSCOVR,570 kg,HEO,ABS,"Success
",F9 v1.1[,No attempt,21 September 2014,05:52
121,"['21 September 2014,', '05:52']",Cape Canaveral,ABS-3A,"4,159 kg",GTO,NASA,"Success
",F9 v1.1[,Failure,10 January 2015,09:47
122,"['10 January 2015,', '09:47']",Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,,"Success
",F9 v1.1[,No attempt,11 February 2015,23:03
123,"['11 February 2015,', '23:03']",Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,NASA,Failure,F9 v1.1[,Precluded,2 March 2015,03:50
124,"['2 March 2015,', '03:50']",Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,Orbcomm,"Success
",F9 v1.1[,Success,14 April 2015,20:10
125,"['14 April 2015,', '20:10']",Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,NASA,"Success
",F9 FT[,Failure,27 April 2015,23:03
126,"['27 April 2015,', '23:03']",VAFB,Jason-3,553 kg,LEO,SES,"Success
",F9 v1.1[,Failure,28 June 2015,14:21
127,"['28 June 2015,', '14:21']",Cape Canaveral,SES-9,"5,271 kg",GTO,NASA,Success,F9 FT[,Success,22 December 2015,01:29
128,"['22 December 2015,', '01:29']",Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,SKY Perfect JSAT Group,"Success
",F9 FT[,Success,17 January 2016,18:42
129,"['17 January 2016,', '18:42']",Cape Canaveral,JCSAT-14,"4,696 kg",GTO,Thaicom,"Success
",F9 FT[,Success,4 March 2016,23:35
130,"['4 March 2016,', '23:35']",Cape Canaveral,Thaicom 8,"3,100 kg",GTO,ABS,"Success
",F9 FT[,Failure,8 April 2016,20:43
131,"['8 April 2016,', '20:43']",Cape Canaveral,ABS-2A,"3,600 kg",GTO,NASA,"Success
",F9 FT[,Success,6 May 2016,05:21
132,"['6 May 2016,', '05:21']",Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,SKY Perfect JSAT Group,"Success
",F9 FT[,Success,27 May 2016,21:39
133,"['27 May 2016,', '21:39']",Cape Canaveral,JCSAT-16,"4,600 kg",GTO,Iridium Communications,"Success
",F9 FT[,Success,15 June 2016,14:29
134,"['15 June 2016,', '14:29']",VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,"Success
",F9 FT[,Success,18 July 2016,04:45
135,"['18 July 2016,', '04:45']",KSC,SpaceX CRS-10,"2,490 kg",LEO,EchoStar,"Success
",F9 FT[,No attempt,14 August 2016,05:26
136,"['14 August 2016,', '05:26']",KSC,EchoStar 23,"5,600 kg",GTO,SES,Success,F9 FT[,Success,14 January 2017,17:54
137,"['14 January 2017,', '17:54']",KSC,SES-10,"5,300 kg",GTO,NRO,"Success
",F9 FT♺[,Success,19 February 2017,14:39
138,"['19 February 2017,', '14:39']",KSC,NROL-76,C,LEO,Inmarsat,"Success
",F9 FT[,No attempt,16 March 2017,06:00
139,"['16 March 2017,', '06:00']",KSC,Inmarsat-5 F4,"6,070 kg",GTO,NASA,"Success
",F9 FT[,Success,30 March 2017,22:27
140,"['30 March 2017,', '22:27']",KSC,SpaceX CRS-11,"2,708 kg",LEO,Bulsatcom,"Success
",F9 FT[,Success,1 May 2017,11:15
141,"['1 May 2017,', '11:15']",KSC,BulgariaSat-1,"3,669 kg",GTO,Iridium Communications,"Success
",F9 FTB1029.2195,Success,15 May 2017,23:21
142,"['15 May 2017,', '23:21']",VAFB,Iridium NEXT,"9,600 kg",LEO,Intelsat,"Success
",F9 FT[,No attempt,3 June 2017,21:07
143,"['3 June 2017,', '21:07']",KSC,Intelsat 35e,"6,761 kg",GTO,NASA,"Success
",F9 FT[,Success,23 June 2017,19:10
144,"['23 June 2017,', '19:10']",KSC,SpaceX CRS-12,"3,310 kg",LEO,NSPO,"Success
",F9 B4[,Success,25 June 2017,20:25
145,"['25 June 2017,', '20:25']",VAFB,Formosat-5,475 kg,SSO,USAF,"Success
",F9 FT[,Success,5 July 2017,23:38
146,"['5 July 2017,', '23:38']",KSC,Boeing X-37B,"4,990 kg",LEO,Iridium Communications,"Success
",F9 B4[,Success,14 August 2017,16:31
147,"['14 August 2017,', '16:31']",VAFB,Iridium NEXT,"9,600 kg",Polar,SES S.A.,"Success
",F9 B4[,Success,24 August 2017,18:51
148,"['24 August 2017,', '18:51']",KSC,SES-11,"5,200 kg",GTO,KT Corporation,"Success
",F9 FTB1031.2220,Success,7 September 2017,14:00
149,"['7 September 2017,', '14:00']",KSC,Koreasat 5A,"3,500 kg",GTO,NASA,"Success
",F9 B4[,Success,9 October 2017,12:37
150,"['9 October 2017,', '12:37']",Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,Iridium Communications,Success,F9 FTB1035.2227,Controlled,11 October 2017,22:53:00
151,"['11 October 2017,', '22:53:00']",VAFB,Iridium NEXT,"9,600 kg",Polar,Northrop Grumman,Success,F9 FTB1036.2227,Success,30 October 2017,19:34
152,"['30 October 2017,', '19:34']",CCAFS,Zuma,C,LEO,SES,Success,F9 B4[,Controlled,15 December 2017,15:36
153,"['15 December 2017,', '15:36']",CCAFS,GovSat-1,"4,230 kg",GTO,Hisdesat,Success,F9 FTB1032.2245,No attempt,23 December 2017,01:27
154,"['23 December 2017,', '01:27']",VAFB,Paz,"2,150 kg",SSO,Hispasat,Success,F9 FTB1038.2268,No attempt,8 January 2018,01:00
155,"['8 January 2018,', '01:00']",CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Iridium Communications,Success,F9 B4[,No attempt,31 January 2018,21:25
156,"['31 January 2018,', '21:25']",VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,Success,F9 B4B1041.2268,No attempt,22 February 2018,14:17
157,"['22 February 2018,', '14:17']",CCAFS,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,F9 B4B1039.2292,Success,6 March 2018,05:33
158,"['6 March 2018,', '05:33']",CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,Thales-Alenia,Success,F9 B4[,Success,30 March 2018,14:14
159,"['30 March 2018,', '14:14']",KSC,Bangabandhu-1,"3,600 kg",GTO,Iridium Communications,Success,F9 B5311B1046.1268,No attempt,2 April 2018,20:30
160,"['2 April 2018,', '20:30']",VAFB,Iridium NEXT,"6,460 kg",Polar,SES,Success,F9 B4B1043.2322,No attempt,18 April 2018,22:51
161,"['18 April 2018,', '22:51']",CCAFS,SES-12,"5,384 kg",GTO,NASA,Success,F9 B4B1040.2268,No attempt,11 May 2018,20:14
162,"['11 May 2018,', '20:14']",CCAFS,SpaceX CRS-15,"2,697 kg",LEO,Telesat,Success,F9 B4B1045.2336,Success,22 May 2018,19:47
163,"['22 May 2018,', '19:47']",CCAFS,Telstar 19V,"7,075 kg",GTO,Iridium Communications,Success,F9 B5,Success,4 June 2018,04:45
164,"['4 June 2018,', '04:45']",VAFB,Iridium NEXT,"9,600 kg",Polar,Telkom Indonesia,Success,F9 B5349B1048[,Success,29 June 2018,09:42
165,"['29 June 2018,', '09:42']",CCAFS,Merah Putih,"5,800 kg",GTO,Telesat,Success,F9 B5B1046.2354,Success,22 July 2018,05:50
166,"['22 July 2018,', '05:50']",CCAFS,Telstar 18V,"7,060 kg",GTO,CONAE,Success,F9 B5[,Success,25 July 2018,11:39
167,"['25 July 2018,', '11:39']",VAFB,SAOCOM 1A,"3,000 kg",SSO,Es'hailSat,Success,F9 B5B1048.2364,Success,7 August 2018,05:18
168,"['7 August 2018,', '05:18']",KSC,Es'hail 2,"5,300 kg",GTO,Spaceflight Industries,Success,F9 B5B1047.2268,Success,10 September 2018,04:45
169,"['10 September 2018,', '04:45']",VAFB,SSO-A,"~4,000 kg",SSO,NASA,"Success
",F9 B5B1046.3268,Failure,8 October 2018,02:22
170,"['8 October 2018,', '02:22']",CCAFS,SpaceX CRS-16,"2,500 kg",LEO,USAF,Success,F9 B5[,No attempt,15 November 2018,20:46
171,"['15 November 2018,', '20:46']",CCAFS,GPS III,"4,400 kg",MEO,Iridium Communications,"Success
",F9 B5[,Success,3 December 2018,18:34:05
172,"['3 December 2018,', '18:34:05']",VAFB,Iridium NEXT,"9,600 kg",Polar,PSN,"Success
",F9 B5B1049.2397,Success,5 December 2018,18:16
173,"['5 December 2018,', '18:16']",CCAFS,Nusantara Satu,"4,850 kg",GTO,NASA,"Success
",F9 B5B1048.3399,Success,23 December 2018,13:51
174,"['23 December 2018,', '13:51']",KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",F9 B5[]413,Success,11 January 2019,15:31
175,"['11 January 2019,', '15:31']",CCAFS,SpaceX CRS-17,"2,495 kg",LEO,SpaceX,"Success
",F9 B5[,Success,22 February 2019,01:45
